,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score.C#,tech_self_score.Java,tech_self_score.R,tech_self_score.JavaScript,tech_self_score.Python,tech_self_score.C++,tech_self_score.Ruby,tech_self_score.SPSS,tech_self_score.PHP
132,Tris Landrean,29/08/2019,"['Innovative', 'Empathy']","['Passive', 'Selfish', 'Chaotic']",Yes,Yes,Yes,Pass,Data,,1.0,,,,1.0,,1.0,
133,Derk Andress,13/08/2019,"['Curious', 'Altruism', 'Collaboration']","['Perfectionist', 'Chatty', 'Undisciplined']",Yes,Yes,Yes,Pass,Business,,,4.0,,,2.0,,,
134,Engelbert Vahl,21/08/2019,"['Courteous', 'Reliable']","['Chaotic', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,2.0,,3.0,,4.0,,,
135,Prentiss Godman,20/08/2019,"['Altruism', 'Collaboration']","['Controlling', 'Impulsive']",Yes,Yes,Yes,Fail,Engineering,,3.0,,,,1.0,3.0,,
136,Angel Hulson,14/08/2019,"['Consistent', 'Independent']","['Chaotic', 'Controlling', 'Critical']",Yes,Yes,Yes,Fail,Business,5.0,,2.0,,,2.0,1.0,,
137,Mike Milliere,06/08/2019,"['Patient', 'Perfectionism']","['Selfish', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,,2.0,2.0,,,,,,
138,Gayleen Petru,14/08/2019,"['Versatile', 'Problem Solving']",['Distracted'],Yes,Yes,Yes,Pass,Business,,,,,1.0,,1.0,,
139,Jozef Burr,07/08/2019,"['Organisation', 'Patient', 'Problem Solving']","['Chatty', 'Anxious']",Yes,Yes,Yes,Pass,Engineering,,2.0,1.0,,,,,2.0,1.0
140,Allina Grelka,28/08/2019,"['Courteous', 'Empathy', 'Organisation']",['Critical'],Yes,Yes,Yes,Pass,Engineering,,3.0,4.0,,,1.0,,5.0,3.0
141,Carr Kensall,20/08/2019,"['Creative', 'Reliable']",['Chatty'],Yes,No,Yes,Fail,Business,4.0,,1.0,3.0,,,2.0,3.0,2.0
142,Nil Macpaike,06/08/2019,"['Problem Solving', 'Courteous']","['Controlling', 'Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Business,2.0,1.0,1.0,,,,,,
143,Jessie Petriello,06/08/2019,"['Passionate', 'Versatile']",['Critical'],Yes,Yes,Yes,Pass,Engineering,,1.0,,,,,,,2.0
144,George O'Duane,06/08/2019,"['Altruism', 'Efficient', 'Competitive']","['Controlling', 'Critical', 'Competitive']",Yes,Yes,Yes,Pass,Data,,,1.0,4.0,1.0,,,,
145,Mendie Mcbean,15/08/2019,"['Composure', 'Independent', 'Innovative']","['Impulsive', 'Conventional', 'Introverted']",Yes,Yes,Yes,Pass,Engineering,,,,,,5.0,,,
146,Roze Yepiskopov,21/08/2019,['Perfectionism'],['Chatty'],Yes,Yes,Yes,Pass,Engineering,2.0,,,,,8.0,,5.0,3.0
147,Boote Moan,20/08/2019,['Altruism'],['Chaotic'],Yes,Yes,Yes,Pass,Business,5.0,1.0,,,1.0,2.0,,,
148,Tito Greiswood,20/08/2019,"['Composure', 'Independent']","['Conventional', 'Passive', 'Chaotic']",Yes,Yes,Yes,Pass,Engineering,,,,4.0,,4.0,2.0,,3.0
149,Reg Vandenhoff,27/08/2019,['Independent'],"['Competitive', 'Overbearing']",Yes,Yes,Yes,Pass,Data,,,5.0,3.0,,,7.0,4.0,
150,Ravid Leyninye,06/08/2019,"['Efficient', 'Competitive']","['Undisciplined', 'Stubborn']",Yes,Yes,Yes,Pass,Data,,1.0,,2.0,,,,,
151,Ninetta Joyce,06/08/2019,"['Collaboration', 'Perfectionism']","['Selfish', 'Critical', 'Stubborn']",Yes,Yes,Yes,Pass,Data,2.0,,,4.0,1.0,,,,
152,Rozalin Summerscales,28/08/2019,"['Altruism', 'Collaboration', 'Empathy']","['Chaotic', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,,,5.0,,5.0,,,,
153,Rafi Andrzejczak,07/08/2019,"['Critical Thinking', 'Innovative']","['Chatty', 'Undisciplined', 'Selfish']",Yes,No,Yes,Fail,Business,,2.0,,,6.0,,,,
154,Rafi Andrzejczak,07/08/2019,"['Critical Thinking', 'Innovative']","['Chatty', 'Undisciplined', 'Selfish']",Yes,No,Yes,Fail,Business,,2.0,,,6.0,,,,
155,Mead Stolting,29/08/2019,"['Courteous', 'Efficient']","['Sensitive', 'Indifferent']",Yes,No,Yes,Fail,Data,,1.0,2.0,,,,,7.0,2.0
156,Chickie Kezar,21/08/2019,"['Problem Solving', 'Altruism', 'Ambitious']","['Undisciplined', 'Procrastination']",Yes,Yes,No,Fail,Business,,,,5.0,,2.0,,7.0,
157,Cornall Wastall,15/08/2019,"['Innovative', 'Efficient']","['Indifferent', 'Critical', 'Impatient']",Yes,Yes,Yes,Pass,Engineering,,,,,,1.0,,3.0,
158,Carlin Stellino,20/08/2019,"['Consistent', 'Efficient']","['Chatty', 'Overbearing']",Yes,Yes,No,Fail,Engineering,,,,,5.0,,,,
159,Sherline Cudihy,01/08/2019,['Perfectionism'],['Sensitive'],Yes,Yes,Yes,Pass,Data,,3.0,2.0,,1.0,,2.0,5.0,
