name,date,tech_self_score,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,talent_id
Cal Loache,2019-08-15,"{'Python': 3, 'C#': 3, 'Ruby': 2, 'R': 7, 'SPSS': 1, 'PHP': 2, 'JavaScript': 1}","['Ambitious', 'Reliable', 'Determined']","['Sensitive', 'Indifferent']",Yes,Yes,Yes,Fail,Business,10496
Tully Mcdoual,2019-08-07,"{'Python': 4, 'Ruby': 3, 'R': 1}",['Rational'],"['Stubborn', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,10497
Molli Brayfield,2019-08-22,"{'Java': 4, 'R': 3, 'SPSS': 3, 'PHP': 3}",['Listening'],"['Perfectionist', 'Conventional']",Yes,Yes,Yes,Pass,Data,10498
Janaya Mawford,2019-08-01,"{'Python': 7, 'R': 1}","['Problem Solving', 'Efficient']","['Stubborn', 'Indecisive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,10499
Lazarus Hooke,2019-08-29,"{'Java': 1, 'R': 1}","['Independent', 'Perfectionism']",['Immature'],No,Yes,Yes,Fail,Data,10500
Sidney Le Batteur,2019-08-08,{'JavaScript': 1},['Listening'],"['Intolerant', 'Conventional', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,10501
Maryellen Vasovic,2019-08-20,"{'Java': 3, 'Ruby': 4, 'PHP': 1, 'JavaScript': 4}","['Problem Solving', 'Altruism', 'Patient']","['Indecisive', 'Procrastination', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,10502
Winona Rubinowitz,2019-08-29,"{'C#': 1, 'Ruby': 3, 'JavaScript': 3}",['Courteous'],['Controlling'],Yes,Yes,Yes,Pass,Engineering,10503
Dur Plom,2019-08-14,"{'C#': 1, 'Ruby': 2, 'R': 4, 'SPSS': 4, 'PHP': 1, 'C++': 3}","['Consistent', 'Innovative']","['Indifferent', 'Indecisive', 'Controlling']",Yes,Yes,Yes,Fail,Engineering,10504
Gisela Aisbett,2019-08-15,"{'Java': 1, 'SPSS': 3, 'JavaScript': 1}","['Efficient', 'Critical Thinking', 'Creative']","['Chaotic', 'Conventional']",Yes,Yes,Yes,Pass,Engineering,10505
Appolonia Jovis,2019-08-29,"{'Java': 7, 'R': 5, 'SPSS': 7, 'PHP': 1, 'C++': 4}","['Passionate', 'Composure', 'Determined']",['Anxious'],Yes,No,No,Fail,Business,10506
Diandra Dyhouse,2019-08-27,"{'Python': 6, 'Java': 3, 'C++': 3}","['Collaboration', 'Determined', 'Consistent']","['Slow', 'Conventional']",Yes,Yes,Yes,Pass,Business,10507
Cornall Offer,2019-08-01,"{'Java': 1, 'C++': 4}",['Creative'],"['Distracted', 'Overbearing']",Yes,No,Yes,Fail,Data,10508
Dominique Narbett,2019-08-20,"{'Ruby': 4, 'R': 6, 'SPSS': 6}","['Competitive', 'Critical Thinking', 'Courteous']","['Immature', 'Chatty', 'Critical']",Yes,Yes,Yes,Pass,Business,10509
Gusti Horrod,2019-08-27,"{'Java': 3, 'R': 3, 'PHP': 1}","['Empathy', 'Courteous']",['Indifferent'],Yes,Yes,Yes,Pass,Data,10510
Brnaby Bownes,2019-08-01,"{'Python': 4, 'C#': 5, 'Java': 5, 'Ruby': 4, 'SPSS': 3, 'C++': 2}","['Efficient', 'Passionate']",['Introverted'],Yes,Yes,Yes,Pass,Engineering,10511
Berky Bailey,2019-08-28,"{'Python': 2, 'C#': 5, 'JavaScript': 5}","['Competitive', 'Empathy']","['Distracted', 'Passive', 'Stubborn']",Yes,Yes,Yes,Pass,Business,10512
Harriett Saffin,2019-08-28,"{'Python': 1, 'C#': 2, 'Ruby': 4, 'R': 1}","['Innovative', 'Consistent', 'Collaboration']",['Impulsive'],Yes,Yes,Yes,Pass,Business,10513
Pooh Christy,2019-08-28,"{'Python': 5, 'C#': 2, 'Java': 2, 'C++': 1}","['Curious', 'Perfectionism', 'Critical Thinking']",['Perfectionist'],Yes,Yes,Yes,Pass,Data,10514
Tris Landrean,2019-08-29,"{'Java': 1, 'SPSS': 1, 'C++': 1}","['Innovative', 'Empathy']","['Passive', 'Selfish', 'Chaotic']",Yes,Yes,Yes,Pass,Data,10515
Derk Andress,2019-08-13,"{'R': 4, 'C++': 2}","['Curious', 'Altruism', 'Collaboration']","['Perfectionist', 'Chatty', 'Undisciplined']",Yes,Yes,Yes,Pass,Business,10516
Engelbert Vahl,2019-08-21,"{'Java': 2, 'C++': 4, 'JavaScript': 3}","['Courteous', 'Reliable']","['Chaotic', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,10517
Prentiss Godman,2019-08-20,"{'Java': 3, 'Ruby': 3, 'C++': 1}","['Altruism', 'Collaboration']","['Controlling', 'Impulsive']",Yes,Yes,Yes,Fail,Engineering,10518
Angel Hulson,2019-08-14,"{'C#': 5, 'Ruby': 1, 'R': 2, 'C++': 2}","['Consistent', 'Independent']","['Chaotic', 'Controlling', 'Critical']",Yes,Yes,Yes,Fail,Business,10519
Mike Milliere,2019-08-06,"{'Java': 2, 'R': 2}","['Patient', 'Perfectionism']","['Selfish', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering,10520
Gayleen Petru,2019-08-14,"{'Python': 1, 'Ruby': 1}","['Versatile', 'Problem Solving']",['Distracted'],Yes,Yes,Yes,Pass,Business,10521
Jozef Burr,2019-08-07,"{'Java': 2, 'R': 1, 'SPSS': 2, 'PHP': 1}","['Organisation', 'Patient', 'Problem Solving']","['Chatty', 'Anxious']",Yes,Yes,Yes,Pass,Engineering,10522
Allina Grelka,2019-08-28,"{'Java': 3, 'R': 4, 'SPSS': 5, 'PHP': 3, 'C++': 1}","['Courteous', 'Empathy', 'Organisation']",['Critical'],Yes,Yes,Yes,Pass,Engineering,10523
Carr Kensall,2019-08-20,"{'C#': 4, 'Ruby': 2, 'R': 1, 'SPSS': 3, 'PHP': 2, 'JavaScript': 3}","['Creative', 'Reliable']",['Chatty'],Yes,No,Yes,Fail,Business,10524
Nil Macpaike,2019-08-06,"{'C#': 2, 'Java': 1, 'R': 1}","['Problem Solving', 'Courteous']","['Controlling', 'Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Business,10525
Jessie Petriello,2019-08-06,"{'Java': 1, 'PHP': 2}","['Passionate', 'Versatile']",['Critical'],Yes,Yes,Yes,Pass,Engineering,10526
